,MOF ID,name,topology,First nodular symmetry code,First nodular character,First nodular ID,Second nodular symmetry code,Second nodular character,Second nodular ID,Connecting building block ID,VF,VSA,GSA,PLD,LCD,LCD/PLD,UCV,GPV,density,bulk,shear
211,932,csq_sym_5_mc_2_sym_8_mc_9_L_34,csq,5,metaliic,2,8,metallic,9,34,0.92,1170,4867,43.3,44.4,1.025404,57349.97,3.741358,0.2459,8.538212,3.19048
212,935,csq_sym_5_mc_2_sym_8_mc_9_L_37,csq,5,metaliic,2,8,metallic,9,37,0.92,1184,4962,42.7,44.7,1.046838,57763.06,3.768299,0.244142,7.346944,1.56668
213,940,csq_sym_5_mc_2_sym_8_mc_9_L_41,csq,5,metaliic,2,8,metallic,9,41,0.93,1052,5044,48.4,50.5,1.043388,76060.86,4.372458,0.212695,7.436772,2.97688
214,942,csq_sym_5_mc_2_sym_8_mc_9_L_43,csq,5,metaliic,2,8,metallic,9,43,0.94,948,5201,53.6,55.7,1.039179,98353.24,5.064983,0.185588,5.052328,1.577017
215,945,csq_sym_5_mc_2_sym_8_mc_9_L_46,csq,5,metaliic,2,8,metallic,9,46,0.95,861,5697,55.5,58.1,1.046847,111243.8,6.16755,0.154032,5.029542,1.553727
216,956,csq_sym_5_on_10_sym_8_mc_7_L_12,csq,5,organic,10,8,metallic,7,12,0.82,1505,3069,18.6,20.5,1.102151,15373.82,1.572843,0.521349,1.899547,3.482149
217,957,csq_sym_5_on_10_sym_8_mc_7_L_13,csq,5,organic,10,8,metallic,7,13,0.85,1471,3149,23.9,25.3,1.058577,16475.47,1.713544,0.496048,6.929257,4.427827
218,960,csq_sym_5_on_10_sym_8_mc_7_L_16,csq,5,organic,10,8,metallic,7,16,0.9,1611,5242,25.1,27.7,1.103586,20884.06,2.725159,0.330256,3.112216,2.311252
219,965,csq_sym_5_on_10_sym_8_mc_7_L_20,csq,5,organic,10,8,metallic,7,20,0.9,1483,5199,28.1,30.1,1.071174,29778.68,2.987007,0.301305,1.59345,1.386105
220,969,csq_sym_5_on_10_sym_8_mc_7_L_24,csq,5,organic,10,8,metallic,7,24,0.91,1414,5442,29.6,32.9,1.111486,40669.04,3.349862,0.271653,1.096802,1.383325
221,971,csq_sym_5_on_10_sym_8_mc_7_L_26,csq,5,organic,10,8,metallic,7,26,0.91,1385,4879,30.6,33.5,1.094771,38347.98,3.071118,0.296309,1.911136,1.510555
222,985,csq_sym_5_on_10_sym_8_mc_7_L_3,csq,5,organic,10,8,metallic,7,3,0.84,1496,3015,20.6,22.2,1.07767,11005.5,1.5564,0.539707,7.490371,5.073117
223,979,csq_sym_5_on_10_sym_8_mc_7_L_34,csq,5,organic,10,8,metallic,7,34,0.93,1355,6758,32.4,36.1,1.114198,47152.36,4.416164,0.21059,0.603857,0.821585
224,982,csq_sym_5_on_10_sym_8_mc_7_L_37,csq,5,organic,10,8,metallic,7,37,0.93,1411,6855,30.5,33.4,1.095082,45916.5,4.300419,0.216258,0.670036,0.925928
225,987,csq_sym_5_on_10_sym_8_mc_7_L_41,csq,5,organic,10,8,metallic,7,41,0.93,1236,6565,33.8,37.5,1.109467,61235.53,4.743688,0.19605,0.522471,0.623904
226,989,csq_sym_5_on_10_sym_8_mc_7_L_43,csq,5,organic,10,8,metallic,7,43,0.94,1159,6664,36.6,41,1.120219,78180.66,5.219236,0.180103,0.529814,0.541269
227,991,csq_sym_5_on_10_sym_8_mc_7_L_45,csq,5,organic,10,8,metallic,7,45,0.94,1098,5772,37.4,40.8,1.090909,74010.59,4.780431,0.196635,0.630209,0.612013
228,992,csq_sym_5_on_10_sym_8_mc_7_L_46,csq,5,organic,10,8,metallic,7,46,0.95,1012,7316,39.4,43.1,1.093909,90262.77,6.615184,0.143609,0.303928,0.363976
229,1003,csq_sym_5_on_10_sym_8_mc_8_L_12,csq,5,organic,10,8,metallic,8,12,0.88,1578,4462,24,26.4,1.1,23883.64,2.337858,0.376413,2.100617,2.841304
230,1004,csq_sym_5_on_10_sym_8_mc_8_L_13,csq,5,organic,10,8,metallic,8,13,0.88,1608,4287,25.1,27,1.075697,22947.3,2.207533,0.398635,2.114213,2.200327
231,1007,csq_sym_5_on_10_sym_8_mc_8_L_16,csq,5,organic,10,8,metallic,8,16,0.92,1352,5766,31.9,34.8,1.090909,31270.56,3.654564,0.25174,5.989673,2.548654
232,1012,csq_sym_5_on_10_sym_8_mc_8_L_20,csq,5,organic,10,8,metallic,8,20,0.92,1286,5933,35.9,36.7,1.022284,43389.73,4.012946,0.229258,3.786382,1.820432
233,1016,csq_sym_5_on_10_sym_8_mc_8_L_24,csq,5,organic,10,8,metallic,8,24,0.93,1254,6191,36.9,38.8,1.051491,56702.47,4.386089,0.212034,1.198413,1.228845
234,1019,csq_sym_5_on_10_sym_8_mc_8_L_27,csq,5,organic,10,8,metallic,8,27,0.94,1121,6908,38.6,41.6,1.07772,51063.76,5.436354,0.17291,3.681864,1.551675
235,1033,csq_sym_5_on_10_sym_8_mc_8_L_3,csq,5,organic,10,8,metallic,8,3,0.88,1519,4138,25.4,27.6,1.086614,17364.1,2.209839,0.398219,10.54059,4.097973
236,1027,csq_sym_5_on_10_sym_8_mc_8_L_34,csq,5,organic,10,8,metallic,8,34,0.94,1148,7430,41.7,44.1,1.057554,67106.8,5.784651,0.162499,2.704085,1.043312
237,1030,csq_sym_5_on_10_sym_8_mc_8_L_37,csq,5,organic,10,8,metallic,8,37,0.94,1125,7111,38.9,42.6,1.095116,65512.42,5.647206,0.166454,1.785549,1.080649
238,1035,csq_sym_5_on_10_sym_8_mc_8_L_41,csq,5,organic,10,8,metallic,8,41,0.95,1017,6963,43.3,46.4,1.071594,85146.42,6.231756,0.152445,1.239431,0.664369
239,1037,csq_sym_5_on_10_sym_8_mc_8_L_43,csq,5,organic,10,8,metallic,8,43,0.95,951,7062,45.9,49.3,1.074074,107798,6.80199,0.139665,0.820829,0.568343
240,1039,csq_sym_5_on_10_sym_8_mc_8_L_45,csq,5,organic,10,8,metallic,8,45,0.95,946,6185,42.8,47.2,1.102804,97951.84,5.99267,0.158527,0.448796,0.403495
241,1051,csq_sym_5_on_10_sym_8_mc_9_L_12,csq,5,organic,10,8,metallic,9,12,0.83,1310,2610,25.6,27.4,1.070313,20610.87,1.653647,0.501921,1.403739,3.33727
242,1052,csq_sym_5_on_10_sym_8_mc_9_L_13,csq,5,organic,10,8,metallic,9,13,0.82,1347,2540,26.9,27.9,1.037175,19803.83,1.546213,0.530328,2.766809,2.597526
